"Postal code area";"Aged 18 or over, total, 2016 (KO)";"Basic level studies, 2016 (KO)";"With education, total, 2016 (KO)";"Matriculation examination, 2016 (KO)";"Vocational diploma, 2016 (KO)";"Academic degree - Lower level university degree, 2016 (KO)";"Academic degree - Higher level university degree, 2016 (KO)"
"90100 Oulu Keskus   (Oulu )";7685;1299;6386;1430;2748;1087;1121
"90120 Heinäpää   (Oulu )";6275;1166;5109;949;2529;921;710
"90130 Raksila   (Oulu )";5599;979;4620;804;2031;925;860
"90140 Karjasilta   (Oulu )";2725;529;2196;279;973;409;535
"90150 Höyhtyä   (Oulu )";4848;912;3936;497;2132;640;667
"90220 Kontinkangas   (Oulu )";593;96;497;166;203;77;51
"90230 Värttö-Maikkula   (Oulu )";6096;903;5193;673;2216;925;1379
"90240 Iinatti   (Oulu )";4947;773;4174;308;2362;727;777
"90250 Kaukovainio   (Oulu )";5810;1333;4477;588;2782;660;447
"90310 Madekoski   (Oulu )";1966;313;1653;94;966;288;305
"90400 Äimärautio   (Oulu )";1103;158;945;252;433;163;97
"90410 Kaakkuri   (Oulu )";3117;456;2661;183;1485;504;489
"90420 Metsokangas   (Oulu )";6743;852;5891;393;2861;1371;1266
"90440 Kempele Keskus   (Kempele )";6974;1478;5496;285;3678;878;655
"90450 Honkanen   (Kempele )";5108;707;4401;243;2413;889;856
"90460 Oulunsalo Keskus   (Oulu )";5960;1036;4924;308;2941;959;716
"90470 Varjakka   (Oulu )";801;211;590;27;435;70;58
"90480 Hailuoto   (Hailuoto )";837;212;625;32;454;87;52
"90500 Tuira   (Oulu )";7520;1782;5738;1027;2919;907;885
"90510 Hietasaari   (Oulu )";1519;257;1262;112;542;259;349
"90520 Taskila-Toppila   (Oulu )";4486;1032;3454;580;1857;522;495
"90530 Välivainio   (Oulu )";5180;942;4238;864;2044;742;588
"90540 Kuivasjärvi   (Oulu )";7358;706;6652;494;2596;1480;2082
"90550 Pyykösjärvi-Puolivälikangas   (Oulu )";3662;859;2803;381;1505;399;518
"90560 Koskela-Oulu   (Oulu )";2478;513;1965;251;1089;310;315
"90570 Kaijonharju-Linnanmaa   (Oulu )";6515;1173;5342;1648;1465;1030;1199
"90580 Rajakylä   (Oulu )";3587;945;2642;249;1580;359;454
"90590 Teknologiakylä   (Oulu )";1;..;..;..;..;..;..
"90620 Rusko-Heikinharju   (Oulu )";441;116;325;12;224;63;26
"90630 Korvensuora   (Oulu )";5149;684;4465;262;2311;1001;891
"90650 Haapalehto   (Oulu )";8173;1533;6640;503;3484;1140;1513
"90660 Sanginsuu   (Oulu )";502;108;394;17;259;55;63
"90670 Hiukkavaara   (Oulu )";1085;93;992;61;431;266;234
"90800 Pateniemi   (Oulu )";6143;1188;4955;310;2899;837;909
"90810 Kiviniemi   (Oulu )";2075;311;1764;100;1035;332;297
"90820 Kello   (Oulu )";2289;455;1834;100;1213;289;232
"90830 Haukipudas Keskus   (Oulu )";5846;1208;4638;204;3138;718;578
"90840 Haukipudas Asemanseutu   (Oulu )";1245;239;1006;30;704;148;124
"90850 Martinniemi   (Oulu )";1608;332;1276;48;937;202;89
"90860 Halosenniemi   (Oulu )";373;89;284;11;210;37;26
"90900 Kiiminki Keskus   (Oulu )";4547;950;3597;175;2394;589;439
"90910 Kontio   (Oulu )";1006;131;875;43;571;130;131
"90940 Jääli   (Oulu )";3671;666;3005;159;1901;538;407
"91100 Ii Keskus   (Ii )";4511;1050;3461;120;2527;497;317
"91110 Ii Asemanseutu   (Ii )";595;123;472;15;350;68;39
"91140 Olhava   (Ii )";320;110;210;8;178;16;8
"91150 Yli-Olhava   (Ii )";132;52;80;3;66;4;7
"91200 Yli-Ii Keskus   (Oulu )";891;266;625;21;541;40;23
"91210 Jakkukylä   (Oulu )";310;85;225;7;182;21;15
"91240 Tannila   (Oulu )";162;59;103;4;87;8;4
"91260 Pahkakoski-Räinä   (Oulu )";106;29;77;1;73;3;0
"91300 Ylikiiminki Keskus   (Oulu )";2257;683;1574;47;1243;174;110
"91310 Arkala   (Oulu )";148;38;110;5;82;14;9
