"Postal code area";"Aged 18 or over, total, 2015 (HR)";"Average income of inhabitants, 2015 (HR)";"Median income of inhabitants, 2015 (HR)";"Inhabintants belonging to the lowest income category, 2015 (HR)";"Inhabitants belonging to the middle income category, 2015 (HR)";"Inhabintants belonging to the highest income category, 2015 (HR)";"Accumulated purchasing power of inhabitants, 2015 (HR)"
"90100 Oulu Keskus   (Oulu )";7591;21961;17721;2098;4235;1258;166703372
"90120 Heinäpää   (Oulu )";6217;19855;17952;1508;3983;726;123440570
"90130 Raksila   (Oulu )";5677;20976;18320;1560;3307;810;119078937
"90140 Karjasilta   (Oulu )";2671;24296;20789;556;1525;590;64895615
"90150 Höyhtyä   (Oulu )";4850;22101;19968;1103;2927;820;107189567
"90220 Kontinkangas   (Oulu )";579;17938;15057;244;278;57;10386073
"90230 Värttö-Maikkula   (Oulu )";6128;29285;22180;1230;3277;1621;179459307
"90240 Iinatti   (Oulu )";4941;25007;22777;831;2937;1173;123559141
"90250 Kaukovainio   (Oulu )";5670;18768;17131;1594;3534;542;106412185
"90310 Madekoski   (Oulu )";1938;42913;23850;345;1048;545;83164972
"90400 Äimärautio   (Oulu )";973;20332;17502;284;549;140;19782793
"90410 Kaakkuri   (Oulu )";3185;26793;23903;521;1799;865;85335091
"90420 Metsokangas   (Oulu )";6594;26215;24263;1052;3659;1883;172858755
"90440 Kempele Keskus   (Kempele )";6916;23349;21442;1171;4450;1295;161482190
"90450 Honkanen   (Kempele )";4975;26576;24685;694;2830;1451;132214184
"90460 Oulunsalo Keskus   (Oulu )";5878;25151;23322;943;3483;1452;147835580
"90470 Varjakka   (Oulu )";805;27717;22333;151;472;182;22312521
"90480 Hailuoto   (Hailuoto )";841;21705;19767;169;544;128;18254198
"90500 Tuira   (Oulu )";7518;19238;16504;2157;4576;785;144632038
"90510 Hietasaari   (Oulu )";1502;24748;22248;265;859;378;37171440
"90520 Taskila-Toppila   (Oulu )";4250;19626;16772;1347;2331;572;83410689
"90530 Välivainio   (Oulu )";5175;19340;17010;1514;3057;604;100085840
"90540 Kuivasjärvi   (Oulu )";7201;27837;26090;965;3808;2428;200455709
"90550 Pyykösjärvi-Puolivälikangas   (Oulu )";3633;21657;18933;843;2232;558;78680861
"90560 Koskela-Oulu   (Oulu )";2499;21104;19554;554;1557;388;52738671
"90570 Kaijonharju-Linnanmaa   (Oulu )";6284;17037;14296;2780;2831;673;107061310
"90580 Rajakylä   (Oulu )";3646;20898;18904;918;2162;566;76194878
"90590 Teknologiakylä   (Oulu )";1;..;..;..;..;..;..
"90620 Rusko-Heikinharju   (Oulu )";441;23790;19773;107;261;73;10491331
"90630 Korvensuora   (Oulu )";4863;25645;24518;676;2882;1305;124712699
"90650 Haapalehto   (Oulu )";8186;26675;22506;1380;4790;2016;218358366
"90660 Sanginsuu   (Oulu )";503;26721;23543;67;289;147;13440517
"90670 Hiukkavaara   (Oulu )";752;25523;25124;100;426;226;19193014
"90800 Pateniemi   (Oulu )";6185;24702;22541;983;3726;1476;152779402
"90810 Kiviniemi   (Oulu )";2102;32835;23961;312;1205;585;69019441
"90820 Kello   (Oulu )";2265;24090;22518;404;1343;518;54564974
"90830 Haukipudas Keskus   (Oulu )";5856;23316;21601;991;3659;1206;136541242
"90840 Haukipudas Asemanseutu   (Oulu )";1266;23380;22538;238;745;283;29599028
"90850 Martinniemi   (Oulu )";1607;21445;20714;308;1055;244;34461901
"90860 Halosenniemi   (Oulu )";373;22543;21764;64;245;64;8408699
"90900 Kiiminki Keskus   (Oulu )";4509;23825;22533;690;2853;966;107426840
"90910 Kontio   (Oulu )";1001;27391;25137;170;530;301;27418160
"90940 Jääli   (Oulu )";3642;25744;23467;530;2208;904;93760544
"91100 Ii Keskus   (Ii )";4471;22491;20914;806;2889;776;100556120
"91110 Ii Asemanseutu   (Ii )";598;22750;21060;109;381;108;13604635
"91140 Olhava   (Ii )";325;20561;17152;88;187;50;6682174
"91150 Yli-Olhava   (Ii )";129;18429;15872;39;75;15;2377362
"91200 Yli-Ii Keskus   (Oulu )";924;20650;18516;227;551;146;19080536
"91210 Jakkukylä   (Oulu )";316;20157;19230;81;196;39;6369746
"91240 Tannila   (Oulu )";164;18583;16096;56;87;21;3047615
"91260 Pahkakoski-Räinä   (Oulu )";114;18548;16726;31;75;8;2114497
"91300 Ylikiiminki Keskus   (Oulu )";2303;21568;19211;514;1447;342;49671240
"91310 Arkala   (Oulu )";157;21846;20593;32;96;29;3429841
