"Postal code area";"Households, total, 2016 (TE)";"Average size of households, 2016 (TE)";"Occupancy rate, 2016 (TE)";"Young single persons, 2016 (TE)";"Young couples without children, 2016 (TE)";"Households with children, 2016 (TE)";"Households with small children, 2016 (TE)";"Households with children under school age, 2016 (TE)";"Households with school-age children, 2016 (TE)";"Households with teenagers, 2016 (TE)";"Adult households, 2016 (TE)";"Pensioner households, 2016 (TE)";"Households living in owner-occupied dwellings, 2016 (TE)";"Households living in rented dwellings, 2016 (TE)";"Households living in other dwellings, 2016 (TE)"
"90100 Oulu Keskus   (Oulu )";5581;1.5;38.9;1545;546;344;92;159;108;111;3751;1490;1789;3655;137
"90120 Heinäpää   (Oulu )";4569;1.4;36.4;1352;485;324;94;165;107;104;3230;1019;1616;2859;94
"90130 Raksila   (Oulu )";3845;1.6;36.7;979;386;393;125;223;122;95;2539;920;1646;2126;73
"90140 Karjasilta   (Oulu )";1783;1.7;36.9;348;107;245;43;98;116;110;974;569;1017;718;48
"90150 Höyhtyä   (Oulu )";3123;1.8;37.8;521;189;595;141;273;249;188;1737;798;1865;1184;74
"90220 Kontinkangas   (Oulu )";475;1.4;35.6;212;23;43;10;14;17;17;379;53;0;473;2
"90230 Värttö-Maikkula   (Oulu )";3788;1.9;41.4;616;293;711;171;327;309;268;2123;970;2191;1511;86
"90240 Iinatti   (Oulu )";2981;2.1;41.5;300;144;725;202;357;305;262;1636;627;1962;975;44
"90250 Kaukovainio   (Oulu )";4067;1.6;36.6;1001;315;581;181;314;197;199;2649;840;1423;2564;80
"90310 Madekoski   (Oulu )";1039;2.8;41.4;32;32;410;101;184;225;184;423;213;839;166;34
"90400 Äimärautio   (Oulu )";773;1.5;32.8;283;161;33;11;16;7;12;641;99;213;537;23
"90410 Kaakkuri   (Oulu )";1742;2.4;40.6;131;89;571;147;273;236;236;881;292;1249;462;31
"90420 Metsokangas   (Oulu )";4004;2.6;34.6;598;289;1767;525;1056;957;523;1891;350;2409;1556;39
"90440 Kempele Keskus   (Kempele )";4038;2.3;39.5;323;184;1140;310;590;547;456;1742;1160;2880;1064;94
"90450 Honkanen   (Kempele )";2735;2.8;37.8;117;75;1235;315;641;653;474;1014;493;2363;332;40
"90460 Oulunsalo Keskus   (Oulu )";3251;2.7;37.8;152;106;1274;371;649;653;524;1293;699;2496;676;79
"90470 Varjakka   (Oulu )";397;3.1;37.2;6;2;149;51;83;89;71;142;107;373;18;6
"90480 Hailuoto   (Hailuoto )";491;2.0;47.0;6;5;72;20;42;31;24;179;245;411;59;21
"90500 Tuira   (Oulu )";5558;1.5;37.9;1320;382;452;154;263;137;119;3529;1585;2036;3427;95
"90510 Hietasaari   (Oulu )";967;1.8;38.0;219;81;164;73;104;46;48;648;155;484;471;12
"90520 Taskila-Toppila   (Oulu )";3021;1.8;36.2;733;242;504;160;287;196;160;2121;399;925;2057;39
"90530 Välivainio   (Oulu )";3582;1.6;36.9;943;423;357;120;200;120;100;2531;699;1227;2298;57
"90540 Kuivasjärvi   (Oulu )";4001;2.9;36.3;237;253;2071;664;1215;1069;665;1499;440;3307;643;51
"90550 Pyykösjärvi-Puolivälikangas   (Oulu )";2358;1.9;40.0;327;127;417;129;235;186;147;1228;719;1221;1100;37
"90560 Koskela-Oulu   (Oulu )";1627;1.8;41.3;258;95;264;63;132;109;98;925;445;944;648;35
"90570 Kaijonharju-Linnanmaa   (Oulu )";4289;1.7;34.1;1441;530;610;236;388;211;139;3330;355;1022;3222;45
"90580 Rajakylä   (Oulu )";2238;1.9;43.3;337;65;463;119;209;191;201;1272;509;1200;996;42
"90590 Teknologiakylä   (Oulu )";1;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"90620 Rusko-Heikinharju   (Oulu )";230;2.3;39.9;6;8;56;22;35;30;17;109;65;178;36;16
"90630 Korvensuora   (Oulu )";2906;2.5;37.7;243;146;1152;320;612;555;400;1358;404;2273;596;37
